Salesforce Contact Id,Cleaned Practice Areas.1
0034y00002ZjlBnAAJ,Other (See Details); Personal Injury; Employment
0034y00002ZjiQjAAJ, Bankruptcy; Construction; Personal Injury; Real Estate;Workers Compensation; Business Transactional; General Practice; Business Litigation
0036000001SOG8JAAX, Securities;General Practice; Real Estate; Environmental; Criminal
0034y00002ZjjWvAAJ, Bankruptcy; Personal Injury; Employment; Business Transactional;Business Litigation; General Practice
0034y00002ZjpzFAAR, Health and Elder Care; General Practice; Business Litigation;Personal Injury
0034y00002ZjlBoAAJ, Employment;General Practice; Administrative; Criminal; Government; Immigration
0036000001SNKV7AAP, General Practice;Immigration
0034y00002Zjn8gAAB, Insurance; Bankruptcy; Tax;General Practice; Administrative; Civil Rights; Government
0034y00002ZjiQlAAJ, Bankruptcy; Construction; Personal Injury; Real Estate;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjjWyAAJ, Insurance; Bankruptcy; Construction; Personal Injury; Environmental; Real Estate;Workers Compensation; Business Transactional; Consumer; General Practice; Business Litigation
0034y00002ZjlBrAAJ, Health and Elder Care;General Practice
0034y00002ZjiQnAAJ, Securities; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002ZjpzJAAR, Real Estate;Business Litigation; General Practice; Tax
0034y00002ZjioRAAR, Real Estate; Insurance;Bankruptcy
0034y00002ZjlBsAAJ, Bankruptcy; Wills and Trusts; Personal Injury; Business Transactional;Business Litigation; General Practice; Consumer
0034y00002ZjiQoAAJ, Administrative; Business Transactional;Business Litigation; General Practice; Government
0034y00002ZjpzKAAR,Family; General Practice; Employment
0034y00002ZjioSAAR, Real Estate; Criminal;Environmental; General Practice
0034y00002ZjlBtAAJ,Health and Elder Care; General Practice; Antitrust; Business Litigation
0034y00002ZjiQpAAJ, Wills and Trusts; Employment;General Practice; Real Estate; Environmental; Immigration; Family
0034y00002ZjjX1AAJ, Insurance; Bankruptcy; Securities; Wills and Trusts; Construction; Tax; Personal Injury; Employment; Real Estate;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjlBuAAJ, Bankruptcy; Construction; Personal Injury;Workers Compensation; Consumer; General Practice; Business Litigation
0034y00002Zjq9sAAB, Bankruptcy;Other (See Details); Business Transactional; General Practice; Business Litigation
0034y00002ZjpzMAAR, Employment;General Practice; Constitutional; Criminal; Government; Family; Professional Practices
0034y00002ZjlBvAAJ,Wills and Trusts; General Practice
0034y00002ZjiQrAAJ, Bankruptcy; Construction; Employment; Real Estate;Antitrust; Business Transactional; General Practice; Business Litigation
0034y00002ZjjX3AAJ,Real Estate; General Practice; Tax
0034y00002ZjpzNAAR,Administrative; Government; General Practice
0034y00002ZjlBwAAJ, Health and Elder Care; Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002Zjq9qAAB, Securities; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002ZjiQsAAJ, Criminal;Administrative; Government; General Practice
0030e00002O75LdAAJ, Employment;General Practice; Civil Rights; Product Liability; Family; Professional Practices
0034y00002ZjpzOAAR,Family; General Practice; Employment
0034y00002ZjioXAAR, Health and Elder Care; Insurance; General Practice;Personal Injury
0034y00002ZjlBxAAJ,Business Litigation; Criminal
0036000001SOE8KAAX, Intellectual Property;Other (See Details); Business Litigation
0034y00002ZjjX5AAJ, Criminal; Real Estate;Civil Rights
0034y00002ZjpzPAAR, Insurance; Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice; Consumer
0034y00002ZjioYAAR, Bankruptcy; Employment; Environmental; Business Transactional;Business Litigation; General Practice; Consumer
0034y00002ZjlByAAJ, General Practice; Civil Rights;Intellectual Property; Tax
0034y00002ZjiQuAAJ, General Practice;Antitrust; Civil Rights; Business Litigation
0034y00002ZjjX6AAJ, Employment;General Practice; Real Estate; Environmental; Criminal
0034y00002ZjlC1AAJ, Bankruptcy; Personal Injury; Tax; Employment; Real Estate; Administrative; Business Transactional;Business Litigation; General Practice; Government
0034y00002ZjjX8AAJ, Insurance; Bankruptcy; Securities; Business Transactional;Business Litigation; General Practice
0034y00002ZjioaAAB, Securities; Administrative;Business Litigation; General Practice; Government
0034y00002ZjlC2AAJ,General Practice; Criminal
0034y00002ZjiQxAAJ, Bankruptcy; Construction; Personal Injury;Workers Compensation; Business Transactional; Consumer; General Practice; Business Litigation; Family
0036000001SMfhtAAD, Securities; Bankruptcy; Wills and Trusts; Business Transactional;Business Litigation; General Practice
0034y00002ZjlC4AAJ, Criminal;Administrative; Government; General Practice
0034y00002Zjq9xAAB, Construction; Workers Compensation; Personal Injury;Other (See Details); Environmental; Employment; General Practice
0034y00002ZjiQyAAJ, Bankruptcy; Employment;Other (See Details); Business Transactional; General Practice; Business Litigation
0034y00002ZjjXBAAZ,Real Estate; General Practice; Tax
0034y00002ZjpzUAAR, General Practice;Immigration
0034y00002ZjiodAAB,Environmental; Wills and Trusts; General Practice
0034y00002ZjlC5AAJ, Health and Elder Care; Bankruptcy; Construction; Personal Injury; Employment; Administrative;Workers Compensation; Consumer; General Practice; Government
0034y00002CSFQkAAP,General Practice; Insurance; Business Litigation; Business litigation
0033000000HXyFkAAL, Employment;Personal Injury
0034y00002ZjpzVAAR, Bankruptcy; Wills and Trusts; Employment; Real Estate; Administrative; Criminal; Business Transactional;Business Litigation; General Practice; Family
0034y00002Zjq9zAAB,Health and Elder Care; Administrative; Criminal; General Practice; Government
0034y00002ZjlC7AAJ, General Practice;Bankruptcy
0034y00002ZjiR1AAJ, Bankruptcy; Construction; Personal Injury; Employment;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002CSFQnAAP,General Practice; Family
0034y00002ZjjXEAAZ,Real Estate; General Practice; Employment
0034y00002ZjiogAAB, Bankruptcy; Wills and Trusts; Tax; Employment; Environmental; Real Estate; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002ZjlC8AAJ,Other (See Details); Real Estate; Administrative; General Practice; Government
0034y00002CSFQoAAP, Real Estate; Native American; Administrative; Transportation; General Practice;Environmental
0034y00002ZjjXFAAZ, Health and Elder Care; Insurance; Personal Injury;Business Litigation; General Practice; Immigration
0034y00002ZjpzYAAR, Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002ZjlC9AAJ, Insurance; Bankruptcy; Construction; Workers Compensation; Tax; Environmental; Real Estate; Personal Injury; Employment;Cyberspace; General Practice; Civil Rights; Government
0034y00002ZjqA2AAJ,General Practice; Securities; Employment
0034y00002CSFQpAAP,Family; Wills and Trusts
0034y00002ZjpzZAAR, Insurance;Bankruptcy
0034y00002ZjiR4AAJ,Administrative; Government; General Practice
0036000001SOEymAAH, Bankruptcy;Other (See Details); Business Transactional; General Practice; Business Litigation
0034y00002ZjjXHAAZ, General Practice; Criminal;Immigration
0034y00002ZjpzaAAB, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjiR5AAJ, Wills and Trusts; Employment;General Practice; Criminal; Family
0034y00002ZjiokAAB, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjqA5AAJ, Securities; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002ZjjXJAAZ, Insurance;Bankruptcy
0034y00002ZjpzcAAB, Bankruptcy; Wills and Trusts; Business Transactional;Business Litigation; General Practice; Family
0034y00002CSFQtAAP, Securities; Employment; Native American; General Practice; Business litigation; Entertainment;Intellectual Property
0036000001SOEypAAH, Tax;General Practice; Real Estate; Administrative; Government
0034y00002ZjjXKAAZ, General Practice; Employment;Immigration; Family
0034y00002CSFQuAAP, Health and Elder Care; Criminal; General Practice;Civil Rights; Business Litigation
0034y00002ZjjXLAAZ, Bankruptcy; Employment;Cyberspace; Business Transactional; General Practice; Government; Business Litigation
0034y00002ZjqA8AAJ, Bankruptcy; Tax; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjiRAAAZ, Insurance; Bankruptcy; Employment;Other (See Details); Administrative; General Practice
0034y00002CSFQvAAP, Real Estate;Environmental; Insurance; General Practice
0033000000HYjinAAD,Family; General Practice; Employment
0034y00002ZjiooAAB, Securities; Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002ZjifXAAR,Real Estate; General Practice; Tax
0034y00002ZjpzgAAB,Wills and Trusts; General Practice
0034y00002CSFQxAAP,Constitutional; Criminal
0034y00002CSFQyAAP,Environmental; General Practice
0033000000HZ4S5AAL, Bankruptcy; Personal Injury; Business Transactional;Business Litigation; General Practice
0034y00002ZjpziAAB,Administrative; Government; General Practice; Family
0034y00002ZjqACAAZ,Family; General Practice; Employment
0034y00002CSFqIAAX,General Practice; Real Estate; Wills and Trusts
0034y00002ZjifWAAR, Personal Injury; Employment;General Practice; Criminal; Family
0034y00002ZjqADAAZ, Bankruptcy; Construction; Personal Injury;Workers Compensation; General Practice; Business Litigation
0036000001SOEESAA5, Bankruptcy; Tax; Employment;Other (See Details); Real Estate; Business Transactional; General Practice; Entertainment; Business Litigation
0034y00002CSFqGAAX, Wills and Trusts; Real Estate; General Practice; Business litigation;Environmental
0034y00002ZjqAFAAZ, Insurance; Bankruptcy; Employment; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002ZjifaAAB,Administrative; General Practice
0034y00002Qq2uRAAR,Administrative; Government; General Practice; Employment
0034y00002ZjoqZAAR, General Practice; Employment; Family;Personal Injury
0034y00002ZjqAHAAZ, Bankruptcy; Personal Injury; Employment; Environmental; Administrative; Business Transactional;Business Litigation; General Practice; Civil Rights; Consumer; Government
0034y00002cV0rhAAC, Real Estate;Environmental
0034y00002ZjifcAAB, Health and Elder Care;General Practice
0034y00002ZjUjGAAV,Real Estate; General Practice
0036000001SNKZOAA5, Bankruptcy; Wills and Trusts; Business Transactional;Business Litigation; General Practice
0036000001SOEEXAA5, Bankruptcy; Tax;Cyberspace; Business Transactional; General Practice; Civil Rights; Government; Business Litigation
0034y00002ZjifdAAB, Bankruptcy; Administrative; Business Transactional;Business Litigation; General Practice; Government
0034y00002ZjiffAAB, Real Estate;Environmental; General Practice; Tax
0034y00002ZjoqaAAB, Health and Elder Care; Insurance; Personal Injury; Environmental;Business Litigation; General Practice
0034y00002ZjifgAAB, Intellectual Property;Cyberspace; Government
0034y00002ZjoOVAAZ, Health and Elder Care;Wills and Trusts; General Practice
0034y00002ZjUjLAAV, Business Transactiona;General Practice; Administrative; Civil Rights; Government
0034y00002CSFqPAAX,General Practice; Wills and Trusts
0033000000HWvOnAAL,Administrative; Government; General Practice
0034y00002ZjifhAAB, Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjifiAAB, Bankruptcy; Transportation; Business Transactional;Business Litigation; General Practice
0034y00002ZjoqdAAB, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjoORAAZ, Administrative;Cyberspace; Government; General Practice
0034y00002ZjifjAAB,Real Estate; General Practice; Tax
0034y00002ZjoqeAAB, General Practice;Immigration
0034y00002CSFqSAAX, General Practice;Business Litigation; Personal Injury
0034y00002ZjifkAAB, Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjoOTAAZ, Construction; Employment; Environmental; Real Estate; Criminal;Business Litigation; General Practice; Family
0034y00002ZjUjPAAV, Constitutional;Administrative; General Practice; Family
0034y00002ZjiflAAB, Environmental; Real Estate; Criminal;Business Litigation; General Practice; Civil Rights
0034y00002ZjoOUAAZ, Workers Compensation; General Practice;Personal Injury
0033000000HWvOsAAL, Bankruptcy; Wills and Trusts; Employment; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjoqhAAB, Employment;Personal Injury
0034y00002ZjoOWAAZ, Health and Elder Care; Insurance; Wills and Trusts; Tax;General Practice; Real Estate
0034y00002ZjUjRAAV, Intellectual Property; Business Transactiona; Employment; Environmental; Administrative; Criminal; General Practice; Civil Rights;Entertainment; Government
0034y00002CT0YkAAL, Personal Injury;General Practice; Administrative; Criminal; Family
0034y00002ZjoqiAAB, Insurance; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002ZjoOXAAZ, Bankruptcy; Wills and Trusts; Construction; Personal Injury; Employment; Real Estate;Workers Compensation; Business Transactional; General Practice; Business Litigation; Family
0034y00002ZjUjSAAV, Employment; Environmental;General Practice; Constitutional; Real Estate; Criminal; Transportation; Civil Rights
0034y00002ZjifoAAB, Criminal;Family; General Practice; Employment
0034y00002ZjoqjAAB, Health and Elder Care; Intellectual Property; Bankruptcy; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjoOYAAZ, Health and Elder Care;General Practice
0034y00002ZjoqkAAB,Family; General Practice; Employment
0034y00002ZjkBMAAZ, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjoOZAAZ, Employment; Administrative; Business Transactional;Business Litigation; Civil Rights; General Practice
0034y00002ZjUjUAAV,Environmental; Administrative; General Practice; Employment
0036000001SOF9bAAH, Bankruptcy; Construction; Tax; Personal Injury; Environmental;Workers Compensation; Business Transactional; General Practice; Civil Rights; Business Litigation
0034y00002ZjkBNAAZ, Health and Elder Care; Insurance; Wills and Trusts; Personal Injury; Environmental;Business Litigation; General Practice; Family
0036000001SOF9XAAX, Health and Elder Care; Insurance; Construction; Personal Injury;Workers Compensation; General Practice; Civil Rights; Business Litigation
0034y00002ZjkBPAAZ, Bankruptcy; Cyberspace;Other (See Details); Business Transactional; General Practice; Government; Business Litigation
0034y00002ZjoObAAJ, Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjifsAAB, Health and Elder Care; Insurance; Bankruptcy; Workers Compensation;Other (See Details); Administrative; Business Transactional; General Practice; Business Litigation
0034y00002ZjoqnAAB,Workers Compensation; Wills and Trusts; General Practice
0034y00002CT0YnAAL, Personal Injury; Civil Rights;Administrative; Product Liability; Family; Professional Practices
0030e00002NayvJAAR, Real Estate;Environmental; General Practice
0034y00002ZjiftAAB, Employment; Immigration; Constitutional; Real Estate; Administrative; Criminal; Business Transactional;Business Litigation; General Practice; Professional Practices; Government; Family
0034y00002ZjoOdAAJ, Bankruptcy; Wills and Trusts; Employment; Environmental; Real Estate; Business Transactional;Business Litigation; General Practice
0036000001SOEJyAAP,General Practice; Administrative; Criminal; Government; Immigration
0034y00002ZjoqpAAB,Administrative; Government; General Practice
0034y00002ZjoOeAAJ, Bankruptcy; Wills and Trusts; Employment;Other (See Details); Consumer; General Practice; Family
0034y00002Zjm8uAAB, Intellectual Property; Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjoqqAAB, Health and Elder Care; Intellectual Property; Bankruptcy; Construction; Environmental; Constitutional; Real Estate; Administrative;Workers Compensation; Transportation; Business Transactional; General Practice; Pr; Government; Business Litigation; Family
0034y00002ZjoOfAAJ, Real Estate;Wills and Trusts; General Practice; Tax
0034y00002ZjjMEAAZ, Bankruptcy; Personal Injury; Tax; Employment;General Practice; Real Estate; Administrative; Government; Family
0034y00002ZjkBUAAZ,Business Litigation; Employment
0034y00002ZjoOgAAJ, Construction; Employment; Real Estate; Business Transactional;Business Litigation; General Practice
0036000001TXHRkAAP, Real Estate; Criminal;Environmental; General Practice
0034y00002Zjm8wAAB, Health and Elder Care; Insurance; General Practice;Personal Injury
0034y00002ZjjMFAAZ,Insurance; Health and Elder Care; General Practice
0034y00002ZjoqsAAB, Health and Elder Care; Insurance; Personal Injury;Cyberspace; General Practice; Government
0034y00002ZjkBVAAZ, Health and Elder Care; Insurance; Bankruptcy;Other (See Details); Real Estate; Business Transactional; General Practice; Business Litigation
0036000001SOEK4AAP, Real Estate;Wills and Trusts; General Practice; Tax
0034y00002ZjkesAAB,Administrative; Government; General Practice
0034y00002ZjjMIAAZ, Cyberspace; Employment;Other (See Details); Government; Business Litigation
0034y00002ZjoquAAB, Real Estate; Criminal;Environmental; General Practice
0034y00002ZjoOjAAJ, Construction; Employment; Real Estate; Criminal;Business Litigation; General Practice
0036000001SOEK6AAP, Securities; Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002ZjjMJAAZ,Cyberspace; Government
0034y00002ZjoqvAAB,Administrative; General Practice
0034y00002ZjkBYAAZ, Health and Elder Care;Wills and Trusts; General Practice
0034y00002ZjoOkAAJ, Criminal;Personal Injury
0033000000HXNxsAAH, Bankruptcy; Wills and Trusts; Employment; Criminal; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjoqwAAB,Administrative; Government; General Practice; Employment
0034y00002ZjkBZAAZ,Workers Compensation; General Practice
0034y00002ZjkewAAB,Wills and Trusts; General Practice
0034y00002ZjjMLAAZ, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjoqxAAB, Bankruptcy; Environmental; Real Estate; Business Transactional; General Practice;Criminal; Business Litigation
0034y00002ZjkBaAAJ, Bankruptcy; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002ZjkexAAB, Business Litigation;Personal Injury
0034y00002ZjoqyAAB, Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjiliAAB, Insurance; Bankruptcy; Employment;Other (See Details); Criminal; General Practice; Family
0034y00002ZjoOnAAJ, Construction; Personal Injury; Employment; Environmental; Real Estate; Criminal;Business Litigation; General Practice; Civil Rights
0034y00002CT0REAA1, Personal Injury; Environmental; Class Action; Real Estate;Workers Compensation; Medical Malpractice; General Practice; Business Litigation
0036000001TXHRsAAP,Wills and Trusts; General Practice
0034y00002ZjilfAAB, Civil Rights;Personal Injury
0034y00002ZjoOoAAJ, Real Estate; Criminal;Environmental; General Practice
0034y00002ZjkezAAB, Criminal;Personal Injury
0034y00002ZjilgAAB, General Practice;Immigration
0034y00002CT0RGAA1,Workers Compensation; General Practice
0034y00002Zjkf0AAB, Real Estate; Insurance;Bankruptcy
0034y00002ZjjMPAAZ, Health and Elder Care; Insurance; Bankruptcy; Construction; Personal Injury; Real Estate;Workers Compensation; Business Transactional; Consumer; General Practice; Business Litigation
0034y00002ZjkBeAAJ,Administrative; General Practice
0034y00002ZjoOqAAJ, Health and Elder Care; Insurance; Construction; Employment; Real Estate;Business Litigation; General Practice
0034y00002ZjjMQAAZ,Administrative; Government; General Practice; Employment
0034y00002ZjkBfAAJ, General Practice;Immigration
0034y00002ZjhzDAAR, Wills and Trusts; Employment;General Practice; Immigration; Family
0034y00002ZjoOrAAJ,Real Estate; General Practice; Tax
0034y00002CT0RJAA1, General Practice; Real Estate; Consumer;Bankruptcy
0036000001SOEPHAA5, Environmental; Real Estate; Administrative; Criminal;Cyberspace; General Practice; Government
0034y00002ZjilkAAB, Intellectual Property; Bankruptcy; Construction; Workers Compensation; Tax; Personal Injury; Real Estate; Employment;Cyberspace; Business Transactional; General Practice; Civil Rights; Consumer; Government; Business Litigation
0034y00002ZjoOsAAJ,Insurance; Health and Elder Care; General Practice
0036000001TXHRxAAP, Health and Elder Care; Intellectual Property; Insurance; Bankruptcy; Securities; Wills and Trusts; Tax;Other (See Details); Environmental; Business Transactional; General Practice; Civil Rights; Business Litigation
0034y00002ZjjMSAAZ, Health and Elder Care; Insurance; Bankruptcy; Construction; Personal Injury; Employment; Environmental; Real Estate;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjkBhAAJ,Family; General Practice; Employment
0034y00002ZjillAAB, Bankruptcy; Employment; Environmental; Business Transactional;Business Litigation; General Practice
0033000000HXNy1AAH, Real Estate;Wills and Trusts; General Practice
0034y00002Zjkf4AAB, Health and Elder Care; Insurance; Construction; Personal Injury; Employment; Real Estate;Business Litigation; General Practice
0034y00002ZjkBiAAJ, Securities; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002ZjhzGAAR,Other (See Details); Administrative; Criminal; Business Transactional; General Practice; Civil Rights
0034y00002ZjilmAAB, General Practice; Civil Rights; Business Litigation;Bankruptcy
0034y00002CT0RLAA1,Environmental; Transportation; General Practice
0033000000HXNy2AAH, Health and Elder Care; Insurance; Bankruptcy; Wills and Trusts; Construction; Workers Compensation; Personal Injury; Employment; Real Estate; Business Transactional; Consumer; General Practice;Criminal; Business Litigation; Family
0034y00002Zjkf5AAB,Administrative; Government; General Practice
0034y00002ZjjMUAAZ, Intellectual Property; Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice; Entertainment
0034y00002ZjkBjAAJ,Real Estate; General Practice; Tax
0033000000HWieJAAT, Bankruptcy; Personal Injury; Employment;General Practice; Criminal; Consumer; Family
0034y00002ZjjMVAAZ, Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjkBkAAJ, Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002ZjhzIAAR,Administrative; General Practice
0034y00002ZjiloAAB, Health and Elder Care; Insurance; Bankruptcy; Construction; Personal Injury; Employment; Environmental;Workers Compensation; Transportation; Business Transactional; General Practice; Business Litigation
0034y00002CT0RNAA1,Administrative; General Practice
0034y00002Hej8gAAB, Wills and Trusts; Employment;General Practice; Business Transactional; Civil Rights; Family
0034y00002Zjkf7AAB,Wills and Trusts; General Practice
0034y00002ZjkBlAAJ, Intellectual Property; Administrative; Criminal;Antitrust; General Practice; Government; Business Litigation
0034y00002ZjhzJAAR,Administrative; Government; General Practice; Family
0034y00002ZjilpAAB, Bankruptcy; Wills and Trusts; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Consumer
0034y00002Zjkf8AAB,Wills and Trusts; General Practice
0034y00002ZjkBmAAJ, Criminal;Administrative; Government; General Practice
0034y00002ZjhzKAAR, Bankruptcy; Wills and Trusts; Construction; Personal Injury; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Consumer
0034y00002ZjilqAAB, Cyberspace; Construction; Employment;Other (See Details); Real Estate; General Practice; Government; Business Litigation
0033000000HWXpKAAX, Business Litigation;Personal Injury
0030e00002Ncf0FAAR, Insurance; Bankruptcy; Securities; Construction; Workers Compensation; Tax; Environmental; Real Estate; Personal Injury; Business Transactional; General Practice; Civil Rights;Criminal; Business Litigation
0034y00002ZjjMYAAZ, Securities; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002ZjhzLAAR, Personal Injury; Employment;General Practice; Criminal; Family
0034y00002ZjilrAAB,Real Estate; General Practice; Tax
0034y00002ZjjMZAAZ, Personal Injury; Employment;Other (See Details); Constitutional; Administrative; Criminal; General Practice; Civil Rights; Professional Practices; Government; Family
0034y00002ZjhzMAAR, Wills and Trusts; Criminal;Cyberspace; General Practice; Government
0034y00002ZjilsAAB, Bankruptcy; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002ZjkfBAAR, Employment;Wills and Trusts; General Practice; Family
0034y00002ZjjMaAAJ, Health and Elder Care; Insurance; General Practice;Personal Injury
0034y00002ZjhzNAAR, General Practice;Bankruptcy
0034y00002ZjiltAAB,Administrative; Government; General Practice
0036000001TXHXJAA5, General Practice; Workers Compensation; Construction;Personal Injury
0034y00002ZjkfCAAR, Real Estate;Environmental; Wills and Trusts; General Practice
0034y00002ZjoaBAAR, Bankruptcy; Business Transactional;Business Litigation; General Practice; Entertainment; Immigration
0034y00002CSUcYAAX,Family; General Practice; Employment
0034y00002ZjkfDAAR, Construction; Employment; Real Estate;Business Litigation; General Practice; Family
0034y00002ZjoaCAAR, Construction; Tax; Personal Injury; Environmental; Employment;Workers Compensation; General Practice; Civil Rights
0034y00002ZjhzPAAR, Intellectual Property; Bankruptcy; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Civil Rights
0030e00002O76feAAB,Entertainment; Criminal
0034y00002ZjkfEAAR, Administrative;Personal Injury
0034y00002ZjilxAAB, Employment; Tax;General Practice; Environmental; Civil Rights
0034y00002ZjkfFAAR, Health and Elder Care; Insurance; Construction; Personal Injury;Workers Compensation; General Practice
0034y00002ZjilyAAB, Health and Elder Care; Employment; Immigration; Administrative; Business Transactional;Business Litigation; General Practice; Government; Family
0033000000HWvXCAA1, Employment;General Practice; Business Transactional; Civil Rights; Family
0036000001SOFFAAA5, Bankruptcy; Construction; Personal Injury;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjkfGAAR, General Practice;Environmental; Civil Rights; Tax
0034y00002ZjjMfAAJ, Health and Elder Care;General Practice
0034y00002ZjilzAAB, Bankruptcy; Wills and Trusts; Construction; Personal Injury; Employment; Environmental;Workers Compensation; Business Transactional; General Practice; Business Litigation
0036000001SOEPaAAP, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjkfHAAR, General Practice; Real Estate;Bankruptcy
0034y00002ZjjMgAAJ,Administrative; General Practice; Employment
0034y00002ZjhzTAAR, Health and Elder Care;Wills and Trusts; General Practice
0034y00002Zjim0AAB, Insurance; Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjhcJAAR,Health and Elder Care; Administrative; Government; General Practice
0034y00002ZjkfIAAR, Real Estate; Criminal;Environmental; General Practice
0034y00002ZjjMhAAJ,Family; General Practice; Employment
0034y00002ZjoaJAAR, Health and Elder Care; Insurance; Construction; Personal Injury; Administrative;Workers Compensation; General Practice; Government
0034y00002ZjhzUAAR, Wills and Trusts; Employment;General Practice; Criminal; Family
0034y00002Zjim1AAB, Criminal;Family; General Practice; Employment
0034y00002ZjhcKAAR,Administrative; General Practice
0034y00002Zjm5aAAB, Bankruptcy; Wills and Trusts; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002Zjim2AAB, Employment;General Practice; Criminal; Immigration; Family
0034y00002ZjJwLAAV, Personal Injury; Employment;Business Litigation; General Practice; Family
0030e00002NdBx7AAF,Real Estate; General Practice; Tax
0034y00002ZjkfKAAR, Health and Elder Care; Insurance; Personal Injury;Business Litigation; General Practice
0034y00002ZjoaLAAR, Bankruptcy; Tax; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002ZjjjsAAB,Medical Malpractice; General Practice; Professional Practices
0034y00002ZjhzWAAR, Criminal;Business Transactional; Business Litigation; General Practice
0034y00002Zjim3AAB,Environmental; Bankruptcy; Insurance
0034y00002ZjhcNAAR, Tax;Antitrust; General Practice; Civil Rights; Business Litigation
0034y00002CT0fXAAT, Bankruptcy; Personal Injury;Other (See Details); Business Transactional; General Practice; Immigration; Business Litigation
0034y00002ZjjjtAAB, Employment;Other (See Details); Criminal; General Practice; Family
0034y00002ZjhcOAAR, Bankruptcy;Cyberspace; Business Transactional; General Practice; Government; Business Litigation
0034y00002Zjm5ZAAR, Securities; Bankruptcy; Tax; Employment; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjjjvAAB,Family; General Practice; Employment
0034y00002ZjhzYAAR, Employment; Environmental; Real Estate; Criminal;Business Litigation; General Practice
0034y00002Zjim5AAB, General Practice;Immigration
0033000000HXO67AAH, Wills and Trusts; Employment;General Practice; Real Estate; Criminal; Family
0034y00002Zjm5bAAB, General Practice; Business Litigation;Bankruptcy
0034y00002ZjjjwAAB,Real Estate; General Practice; Tax
0033000000HWvXMAA1,Other (See Details); Environmental; Administrative; General Practice; Government
0034y00002ZjoaPAAR,Wills and Trusts; General Practice
0034y00002ZjhzaAAB, Real Estate;Wills and Trusts; General Practice; Tax
0034y00002CT0WiAAL, Health and Elder Care; Insurance; Personal Injury; Employment;General Practice
0034y00002Zjm5dAAB, Criminal;Family; General Practice; Employment
0034y00002ZjoaQAAR,Family; General Practice
0034y00002ZjhzbAAB, Administrative; General Practice;Personal Injury
0034y00002Zjim8AAB, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjhcSAAR, Bankruptcy; Personal Injury; Employment; Real Estate; Administrative; Consumer;Business Litigation; General Practice; Civil Rights; Government
0034y00002Zjm5eAAB, Employment;Other (See Details); Environmental; Real Estate; Administrative; Criminal; General Practice; Government
0034y00002Zjm5fAAB, Health and Elder Care; Securities; Bankruptcy; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
